ID_No,Guide_No,Name_of_Material
1826,157,"Nitrating acid mixture, spent,"
1826,157,"Nitrating acid mixture, spent,"
1827,137,"Stannic chloride, anhydrous"
1827,137,Tin tetrachloride
1828,137,Sulfur chlorides
1828,137,Sulphur chlorides
1829,137,"Sulfur trioxide, stabilized"
1829,137,"Sulphur trioxide, stabilized"
1830,137,Sulfuric acid
1830,137,"Sulfuric acid, with more than"
1830,137,Sulphuric acid
1830,137,"Sulphuric acid, with more than"
1831,137,"Sulfuric acid, fuming"
1831,137,"Sulphuric acid, fuming"
1832,137,"Sulfuric acid, spent"
1832,137,"Sulphuric acid, spent"
1833,154,Sulfurous acid
1833,154,Sulphurous acid
1834,137,Sulfuryl chloride
1834,137,Sulphuryl chloride
1835,153,Tetramethylammonium hydroxide
1835,153,Tetramethylammonium
1836,137,Thionyl chloride
1837,157,Thiophosphoryl chloride
1838,137,Titanium tetrachloride
1839,153,Trichloroacetic acid
1840,154,"Zinc chloride, solution"
1841,171,Acetaldehyde ammonia
1843,141,"Ammonium dinitro-o-cresolate,"
1845,120,"Carbon dioxide, solid"
1845,120,Dry ice
1846,151,Carbon tetrachloride
1847,153,"Potassium sulfide, hydrated,"
1847,153,"Potassium sulphide, hydrated,"
1848,153,Propionic acid
1848,153,"Propionic acid, with not less"
1849,153,"Sodium sulfide, hydrated, with"
1849,153,"Sodium sulphide, hydrated, with"
1851,151,"Medicine, liquid, toxic, n.o.s."
1854,135,"Barium alloys, pyrophoric"
1855,135,"Calcium, pyrophoric"
1855,135,"Calcium alloys, pyrophoric"
1856,133,"Rags, oily"
1857,133,"Textile waste, wet"
1858,126,Hexafluoropropylene
1858,126,"Hexafluoropropylene,"
1858,126,Refrigerant gas R-1216
1859,125,Silicon tetrafluoride
1859,125,"Silicon tetrafluoride,"
1860,116P,"Vinyl fluoride, stabilized"
1862,130,Ethyl crotonate
1863,128,"Fuel, aviation, turbine engine"
1865,128,n-Propyl nitrate
1866,128,Resin solution
1868,134,Decaborane
1869,138,Magnesium
1869,138,"Magnesium, in pellets, turnings"
1869,138,"Magnesium alloys, with more"
1870,138,Potassium borohydride
1871,170,Titanium hydride
1872,140,Lead dioxide
1873,143,"Perchloric acid, with more than"
1884,157,Barium oxide
1885,153,Benzidine
1886,156,Benzylidene chloride
1887,160,Bromochloromethane
1888,151,Chloroform
1889,157,Cyanogen bromide
1891,131,Ethyl bromide
1892,151,Ethyldichloroarsine
1894,151,Phenylmercuric hydroxide
1895,151,Phenylmercuric nitrate
1897,160,Perchloroethylene
1897,160,Tetrachloroethylene
1898,156,Acetyl iodide
1902,153,Diisooctyl acid phosphate
1903,153,"Disinfectant, liquid, corrosive,"
1905,154,Selenic acid
1906,153,"Acid, sludge"
1906,153,Sludge acid
1907,154,"Soda lime, with more than 4%"
1908,154,Chlorite solution
1910,157,Calcium oxide
1911,119,Diborane
1911,119,Diborane mixtures
1912,115,Methyl chloride and methylene
1913,120,"Neon, refrigerated liquid"
1914,130,Butyl propionates
1915,127,Cyclohexanone
1916,152,"2,2'-Dichlorodiethyl ether"
1916,152,Dichloroethyl ether
1917,129P,"Ethyl acrylate, stabilized"
1918,130,Cumene
1918,130,"Isopropylbenzene1919 129P Methyl acrylate, stabilized"
1920,128,Nonanes
1921,131P,"Propyleneimine, stabilized"
1922,132,Pyrrolidine
1923,135,Calcium dithionite
1923,135,Calcium hydrosulfite
1923,135,Calcium hydrosulphite
1928,138,Methyl magnesium bromide in
1929,135,Potassium dithionite
1929,135,Potassium hydrosulfite
1929,135,Potassium hydrosulphite
1931,171,Zinc dithionite
1931,171,Zinc hydrosulfite
1931,171,Zinc hydrosulphite
1932,135,Zirconium scrap
1935,157,"Cyanide solution, n.o.s."
1938,156,"Bromoacetic acid, solution"
1939,137,"Phosphorus oxybromide, solid"
1940,153,Thioglycolic acid
1941,171,Dibromodifluoromethane
1941,171,Refrigerant gas R-12B2
1942,140,"Ammonium nitrate, with not"
1944,133,"Matches, safety"
1945,133,"Matches, wax “vesta”"
1950,126,Aerosols
1951,120,"Argon, refrigerated liquid"
1952,126,Ethylene oxide and carbon
1953,119,"Compressed gas, poisonous,"
1953,119,"Compressed gas, poisonous,"
1953,119,"Compressed gas, poisonous,"
1953,119,"Compressed gas, poisonous,"
1953,119,"Compressed gas, poisonous,"
1953,119,"Compressed gas, toxic,"
1953,119,"Compressed gas, toxic,"
1953,119,"Compressed gas, toxic,"
1953,119,"Compressed gas, toxic,"
1953,119,"Compressed gas, toxic,"
1954,115,"Compressed gas, flammable,"
1954,115,"Dispersant gases, n.o.s."
1954,115,"Refrigerant gases, n.o.s."
1955,123,"Compressed gas, poisonous,"
1955,123,"Compressed gas, poisonous,"
1955,123,"Compressed gas, poisonous,"
1955,123,"Compressed gas, poisonous,"
1955,123,"Compressed gas, toxic, n.o.s."
1955,123,"Compressed gas, toxic, n.o.s."
1955,123,"Compressed gas, toxic, n.o.s."
1955,123,"Compressed gas, toxic, n.o.s."
1955,123,"Compressed gas, toxic, n.o.s."
1955,123,Organic phosphate compound
1955,123,Organic phosphate mixed with
1955,123,Organic phosphorus compound
1956,126,"Compressed gas, n.o.s."
1957,115,"Deuterium, compressed"
1958,126,"1,2-Dichloro-1,1,2,2-"
1958,126,Refrigerant gas R-114
1959,116P,"1,1-Difluoroethylene"
1959,116P,Refrigerant gas R-1132a
1961,115,"Ethane, refrigerated liquid"
1961,115,"Ethane-propane mixture,"
1962,116P,Ethylene
1962,116P,"Ethylene, compressed"
1963,120,"Helium, refrigerated liquid"
1964,115,"Hydrocarbon gas mixture,"
1965,115,"Hydrocarbon gas mixture,"
1966,115,"Hydrogen, refrigerated liquid"
1967,123,"Insecticide gas, poisonous,"
1967,123,"Insecticide gas, toxic, n.o.s."
1967,123,Parathion and compressed gas
1968,126,"Insecticide gas, n.o.s."
1969,115,Isobutane
1970,120,"Krypton, refrigerated liquid"
1971,115,"Methane, compressed"
1971,115,"Natural gas, compressed"
1972,115,Liquefied natural gas (cryogenic
1972,115,LNG (cryogenic liquid)
1972,115,"Methane, refrigerated liquid"
1972,115,"Natural gas, refrigerated liquid"
1973,126,Chlorodifluoromethane and
1973,126,Refrigerant gas R-502
1974,126,Chlorodifluorobromomethane
1974,126,Refrigerant gas R-12B1
1975,124,Nitric oxide and dinitrogen
1975,124,Nitric oxide and nitrogen dioxide
1976,126,Octafluorocyclobutane
1976,126,Refrigerant gas RC-318
1977,120,"Nitrogen, refrigerated liquid"
1978,115,Propane
1982,126,Refrigerant gas R-14
1982,126,Tetrafluoromethane
1983,126,"1-Chloro-2,2,2-trifluoroethane1983 126 Refrigerant gas R-133a"
1984,126,Refrigerant gas R-23
1984,126,Trifluoromethane
1986,131,"Alcohols, flammable, poisonous,"
1986,131,"Alcohols, flammable, toxic,"
1987,127,"Alcohols, n.o.s."
1987,127,Denatured alcohol
1988,131P,"Aldehydes, flammable,"
1988,131P,"Aldehydes, flammable, toxic,"
1989,129P,"Aldehydes, n.o.s."
1990,171,Benzaldehyde
1991,131P,"Chloroprene, stabilized"
1992,131,"Flammable liquid, poisonous,"
1992,131,"Flammable liquid, toxic, n.o.s."
1993,128,"Combustible liquid, n.o.s."
1993,128,"Compounds, cleaning liquid"
1993,128,"Compounds, tree or weed"
1993,128,Diesel fuel
1993,128,"Flammable liquid, n.o.s."
1993,128,Fuel oil
1994,136,Iron pentacarbonyl
1999,130,Asphalt
1999,130,"Asphalt, cut back"
1999,130,"Tars, liquid"
2000,133,"Celluloid, in block, rods, rolls,"
2001,133,"Cobalt naphthenates, powder"
2002,135,"Celluloid, scrap"
2004,135,Magnesium diamide
2006,135,"Plastics, nitrocellulose-based,"
2008,135,"Zirconium powder, dry"
2009,135,"Zirconium, dry, finished sheets,"
2010,138,Magnesium hydride
2011,139,Magnesium phosphide
2012,139,Potassium phosphide
2013,139,Strontium phosphide
2014,140,"Hydrogen peroxide, aqueous"
2015,143,"Hydrogen peroxide, aqueous"
2015,143,"Hydrogen peroxide, stabilized"
2016,151,"Ammunition, poisonous,"
2016,151,"Ammunition, toxic,"
2017,159,"Ammunition, tear-producing,"
2018,152,"Chloroanilines, solid"
2019,152,"Chloroanilines, liquid"
2020,153,"Chlorophenols, solid"
2021,153,"Chlorophenols, liquid"
2022,153,Cresylic acid
2023,131P,Epichlorohydrin
2024,151,"Mercury compound, liquid,"
2025,151,"Mercury compound, solid, n.o.s."
2026,151,"Phenylmercuric compound,"
2027,151,"Sodium arsenite, solid2028 153 Bombs, smoke, non-explosive,"
2029,132,"Hydrazine, anhydrous"
2030,153,"Hydrazine, aqueous solution,"
2031,157,"Nitric acid, other than red"
2031,157,"Nitric acid, other than red"
2032,157,"Nitric acid, red fuming"
2033,154,Potassium monoxide
2034,115,"Hydrogen and methane mixture,"
2035,115,Refrigerant gas R-143a
2035,115,"1,1,1-Trifluoroethane"
2036,120,Xenon
2036,120,"Xenon, compressed"
2037,115,Gas cartridges
2037,115,"Receptacles, small, containing"
2038,152,"Dinitrotoluenes, liquid"
2044,115,"2,2-Dimethylpropane"
2045,130,Isobutyl aldehyde
2045,130,Isobutyraldehyde
2046,130,Cymenes
2047,129,Dichloropropenes
2048,130P,Dicyclopentadiene
2049,130,Diethylbenzene
2050,128,"Diisobutylene, isomeric"
2051,132,2-Dimethylaminoethanol
2052,128,Dipentene
2053,129,Methyl isobutyl carbinol
2054,132,Morpholine
2055,128P,"Styrene monomer, stabilized"
2056,127,Tetrahydrofuran
2057,128,Tripropylene
2058,129,Valeraldehyde
2059,127,"Nitrocellulose solution,"
2067,140,Ammonium nitrate based
2071,140,Ammonium nitrate based
2073,125,"Ammonia solution, with more"
2074,153P,"Acrylamide, solid"
2075,153,"Chloral, anhydrous, stabilized"
2076,153,"Cresols, liquid"
2077,153,alpha-Naphthylamine
2077,153,Naphthylamine (alpha)
2078,156,Toluene diisocyanate
2079,154,Diethylenetriamine
2186,125,"Hydrogen chloride, refrigerated"
2187,120,"Carbon dioxide, refrigerated"
2188,119,Arsine
2189,119,Dichlorosilane
2190,124,"Oxygen difluoride, compressed"
2191,123,Sulfuryl fluoride
2191,123,Sulphuryl fluoride
2192,119,Germane
2193,126,Hexafluoroethane
2193,126,Refrigerant gas R-116
2194,125,Selenium hexafluoride2195 125 Tellurium hexafluoride
2196,125,Tungsten hexafluoride
2197,125,"Hydrogen iodide, anhydrous"
2198,125,Phosphorus pentafluoride
2198,125,"Phosphorus pentafluoride,"
2199,119,Phosphine
2200,116P,"Propadiene, stabilized"
2201,122,"Nitrous oxide, refrigerated liquid"
2202,117,"Hydrogen selenide, anhydrous"
2203,116,Silane
2204,119,Carbonyl sulfide
2204,119,Carbonyl sulphide
2205,153,Adiponitrile
2206,156,"Isocyanate solution, poisonous,"
2206,156,"Isocyanate solution, toxic,"
2206,156,"Isocyanates, poisonous, n.o.s."
2206,156,"Isocyanates, toxic, n.o.s."
2208,140,Bleaching powder
2208,140,"Calcium hypochlorite mixture,"
2209,153,"Formaldehyde, solution"
2209,153,Formalin (corrosive)
2210,135,Maneb
2210,135,"Maneb preparation, with not"
2211,171,"Polymeric beads, expandable"
2212,171,Asbestos
2212,171,"Asbestos, amphibole"
2213,133,Paraformaldehyde
2214,156,Phthalic anhydride
2215,156,Maleic anhydride
2215,156,"Maleic anhydride, molten"
2216,171,"Fish meal, stabilized"
2216,171,"Fish scrap, stabilized"
2217,135,"Seed cake, with not more than"
2218,132P,"Acrylic acid, stabilized"
2219,129,Allyl glycidyl ether
2222,128,Anisole
2224,152,Benzonitrile
2225,156,Benzenesulfonyl chloride
2225,156,Benzenesulphonyl chloride
2226,156,Benzotrichloride
2227,130P,"n-Butyl methacrylate, stabilized"
2232,153,Chloroacetaldehyde
2232,153,2-Chloroethanal
2233,152,Chloroanisidines
2234,130,Chlorobenzotrifluorides
2235,153,"Chlorobenzyl chlorides, liquid"
2236,156,3-Chloro-4-methylphenyl
2237,153,Chloronitroanilines
2238,129,Chlorotoluenes
2239,153,"Chlorotoluidines, solid"
2240,154,Chromosulfuric acid
2240,154,Chromosulphuric acid
2241,128,Cycloheptane
2242,128,Cycloheptene
2243,130,Cyclohexyl acetate
2244,129,Cyclopentanol
2245,128,Cyclopentanone2246 128 Cyclopentene
2247,128,n-Decane
2248,132,Di-n-butylamine
2249,131,"Dichlorodimethyl ether,"
2250,156,Dichlorophenyl isocyanates
2251,128P,"Bicyclo[2.2.1]hepta-2,5-diene,"
2251,128P,"2,5-Norbornadiene, stabilized"
2252,127,"1,2-Dimethoxyethane"
2253,153,"N,N-Dimethylaniline"
2254,133,"Matches, fusee"
2256,130,Cyclohexene
2257,138,Potassium
2258,132,"1,2-Propylenediamine"
2259,153,Triethylenetetramine
2260,132,Tripropylamine
2261,153,"Xylenols, solid"
2262,156,Dimethylcarbamoyl chloride
2263,128,Dimethylcyclohexanes
2264,132,"N,N-Dimethylcyclohexylamine"
2264,132,Dimethylcyclohexylamine
2265,129,"N,N-Dimethylformamide"
2266,132,Dimethyl-N-propylamine
2267,156,Dimethyl thiophosphoryl
2269,153,"3,3'-Iminodipropylamine"
2270,132,"Ethylamine, aqueous solution,"
2271,128,Ethyl amyl ketone
2272,153,N-Ethylaniline
2273,153,2-Ethylaniline
2274,153,N-Ethyl-N-benzylaniline
2275,129,2-Ethylbutanol
2276,132,2-Ethylhexylamine
2277,130P,"Ethyl methacrylate, stabilized"
2278,128,n-Heptene
2279,151,Hexachlorobutadiene
2280,153,"Hexamethylenediamine, solid"
2281,156,Hexamethylene diisocyanate
2282,129,Hexanols
2283,130P,"Isobutyl methacrylate, stabilized"
2284,131,Isobutyronitrile
2285,155,Isocyanatobenzotrifluorides
2286,128,Pentamethylheptane
2287,128,Isoheptenes
2288,128,Isohexenes
2289,153,Isophoronediamine
2290,156,Isophorone diisocyanate
2291,151,"Lead compound, soluble, n.o.s."
2293,128,4-Methoxy-4-methylpentan-2-
2294,153,N-Methylaniline
2295,131,Methyl chloroacetate
2296,128,Methylcyclohexane
2297,128,Methylcyclohexanone
2298,128,Methylcyclopentane
2299,156,Methyl dichloroacetate
2300,153,2-Methyl-5-ethylpyridine
2301,128,2-Methylfuran
2302,127,5-Methylhexan-2-one
2303,128,Isopropenylbenzene
2304,133,"Naphthalene, molten"
2305,153,Nitrobenzenesulfonic acid2305 153 Nitrobenzenesulphonic acid
2306,152,"Nitrobenzotrifluorides, liquid"
2307,152,3-Nitro-4-chlorobenzotrifluoride
2308,157,"Nitrosylsulfuric acid, liquid"
2308,157,"Nitrosylsulphuric acid, liquid"
2309,128P,Octadiene
2310,131,"Pentane-2,4-dione"
2311,153,Phenetidines
2312,153,"Phenol, molten"
2313,129,Picolines
2315,171,"PCB, liquid"
2315,171,"Polychlorinated biphenyls, liquid"
2316,157,"Sodium cuprocyanide, solid"
2317,157,"Sodium cuprocyanide, solution"
2318,135,"Sodium hydrosulfide, with"
2318,135,"Sodium hydrosulphide, with"
2319,128,"Terpene hydrocarbons, n.o.s."
2320,153,Tetraethylenepentamine
2321,153,"Trichlorobenzenes, liquid"
2322,152,Trichlorobutene
2323,130,Triethyl phosphite
2324,128,Triisobutylene
2325,129,"1,3,5-Trimethylbenzene"
2326,153,Trimethylcyclohexylamine
2327,153,Trimethylhexamethylenediamines
2328,156,Trimethylhexamethylene
2329,130,Trimethyl phosphite
2330,128,Undecane
2331,154,"Zinc chloride, anhydrous"
2332,129,Acetaldehyde oxime
2333,131,Allyl acetate
2334,131,Allylamine
2335,131,Allyl ethyl ether
2336,131,Allyl formate
2337,131,Phenyl mercaptan
2338,127,Benzotrifluoride
2339,130,2-Bromobutane
2340,130,2-Bromoethyl ethyl ether
2341,130,1-Bromo-3-methylbutane
2342,130,Bromomethylpropanes
2343,130,2-Bromopentane
2344,129,Bromopropanes
2345,130,3-Bromopropyne
2346,127,Butanedione
2346,127,Diacetyl
2347,130,Butyl mercaptan
2348,129P,"Butyl acrylates, stabilized"
2350,127,Butyl methyl ether
2351,129,Butyl nitrites
2352,127P,"Butyl vinyl ether, stabilized"
2353,155,Butyryl chloride
2354,131,Chloromethyl ethyl ether
2356,129,2-Chloropropane
2357,132,Cyclohexylamine
2358,128P,Cyclooctatetraene
2359,132,Diallylamine
2360,131P,Diallyl ether
2361,132,Diisobutylamine
2362,130,"1,1-Dichloroethane"
2363,129,Ethyl mercaptan
2364,128,n-Propylbenzene2366 128 Diethyl carbonate
2367,130,alpha-Methylvaleraldehyde
2367,130,Methyl valeraldehyde (alpha)
2368,128,alpha-Pinene
2368,128,Pinene (alpha)
2370,128,1-Hexene
2371,128,Isopentenes
2372,129,"1,2-Di-(dimethylamino) ethane"
2373,127,Diethoxymethane
2374,127,"3,3-Diethoxypropene"
2375,129,Diethyl sulfide
2375,129,Diethyl sulphide
2376,127,"2,3-Dihydropyran"
2377,127,"1,1-Dimethoxyethane"
2378,131,2-Dimethylaminoacetonitrile
2379,132,"1,3-Dimethylbutylamine"
2380,127,Dimethyldiethoxysilane
2381,131,Dimethyl disulfide
2381,131,Dimethyl disulphide
2382,131,"Dimethylhydrazine, symmetrical"
2383,132,Dipropylamine
2384,127,Di-n-propyl ether
2385,129,Ethyl isobutyrate
2386,132,1-Ethylpiperidine
2387,130,Fluorobenzene
2388,130,Fluorotoluenes
2389,128,Furan
2390,129,2-Iodobutane
2391,129,Iodomethylpropanes
2392,129,Iodopropanes
2393,129,Isobutyl formate
2394,129,Isobutyl propionate
2395,155,Isobutyryl chloride
2396,131P,"Methacrylaldehyde, stabilized"
2397,127,3-Methylbutan-2-one
2398,127,Methyl tert-butyl ether
2399,132,1-Methylpiperidine
2400,130,Methyl isovalerate
2401,132,Piperidine
2402,130,Propanethiols
2403,129P,Isopropenyl acetate
2404,131,Propionitrile
2405,129,Isopropyl butyrate
2406,127,Isopropyl isobutyrate
2407,155,Isopropyl chloroformate
2409,129,Isopropyl propionate
2410,129,"1,2,3,6-Tetrahydropyridine"
2411,131,Butyronitrile
2412,130,Tetrahydrothiophene
2413,128,Tetrapropyl orthotitanate
2414,130,Thiophene
2416,129,Trimethyl borate
2417,125,Carbonyl fluoride
2418,125,Sulfur tetrafluoride
2418,125,Sulphur tetrafluoride
2419,116,Bromotrifluoroethylene
2420,125,Hexafluoroacetone
2421,124,Nitrogen trioxide
2422,126,Octafluorobut-2-ene
2422,126,Refrigerant gas R-1318
2424,126,Octafluoropropane
2424,126,Refrigerant gas R-218
2426,140,"Ammonium nitrate, liquid (hot"
2428,140,"Sodium chlorate, aqueous"
2429,140,"Calcium chlorate, aqueous"
2430,153,"Alkylphenols, solid, n.o.s."
2431,153,Anisidines
2432,153,"N,N-Diethylaniline"
2433,152,"Chloronitrotoluenes, liquid"
2434,156,Dibenzyldichlorosilane
2435,156,Ethylphenyldichlorosilane
2436,129,Thioacetic acid
2437,156,Methylphenyldichlorosilane
2438,131,Trimethylacetyl chloride
2439,154,Sodium hydrogendifluoride
2440,154,"Stannic chloride, pentahydrate"
2441,135,"Titanium trichloride, pyrophoric"
2441,135,"Titanium trichloride mixture,"
2442,156,Trichloroacetyl chloride
2443,137,Vanadium oxytrichloride
2444,137,Vanadium tetrachloride
2446,153,"Nitrocresols, solid"
2447,136,"Phosphorus, white, molten"
2447,136,"White phosphorus, molten"
2448,133,Molten sulfur
2448,133,Molten sulphur
2448,133,"Sulfur, molten"
2448,133,"Sulphur, molten"
2451,122,Nitrogen trifluoride
2452,116P,"Ethylacetylene, stabilized"
2453,115,Ethyl fluoride
2453,115,Refrigerant gas R-161
2454,115,Methyl fluoride
2454,115,Refrigerant gas R-41
2455,116,Methyl nitrite
2456,130P,2-Chloropropene
2457,128,"2,3-Dimethylbutane"
2458,130,Hexadiene
2459,128,2-Methyl-1-butene
2460,128,2-Methyl-2-butene
2461,128,Methylpentadiene
2463,138,Aluminum hydride
2464,141,Beryllium nitrate
2465,140,"Dichloroisocyanuric acid, dry"
2465,140,Dichloroisocyanuric acid salts
2465,140,Sodium dichloroisocyanurate
2465,140,Sodium dichloro-s-triazinetrione
2466,143,Potassium superoxide
2468,140,"Trichloroisocyanuric acid, dry"
2469,140,Zinc bromate
2470,152,"Phenylacetonitrile, liquid"
2471,154,Osmium tetroxide
2473,154,Sodium arsanilate
2474,156,Thiophosgene
2475,157,Vanadium trichloride
2477,131,Methyl isothiocyanate
2478,155,"Isocyanate solution, flammable,"
2478,155,"Isocyanate solution, flammable,"
2478,155,"Isocyanates, flammable,"
2478,155,"Isocyanates, flammable, toxic,"
2481,155,Ethyl isocyanate
2482,155P,n-Propyl isocyanate
2483,155P,Isopropyl isocyanate
2484,155,tert-Butyl isocyanate
2485,155P,n-Butyl isocyanate
2486,155P,Isobutyl isocyanate
2487,155,Phenyl isocyanate
2488,155,Cyclohexyl isocyanate
2490,153,Dichloroisopropyl ether
2491,153,Ethanolamine
2491,153,"Ethanolamine, solution"
2491,153,Monoethanolamine
2493,132,Hexamethyleneimine
2495,144,Iodine pentafluoride
2496,156,Propionic anhydride
2498,129,"1,2,3,6-Tetrahydrobenzaldehyde"
2501,152,Tris-(1-aziridinyl)phosphine
2502,132,Valeryl chloride
2503,137,Zirconium tetrachloride
2504,159,Acetylene tetrabromide
2504,159,Tetrabromoethane
2505,154,Ammonium fluoride
2506,154,Ammonium hydrogen sulfate
2506,154,Ammonium hydrogen sulphate
2507,154,"Chloroplatinic acid, solid"
2508,156,Molybdenum pentachloride
2509,154,Potassium hydrogen sulfate
2509,154,Potassium hydrogen sulphate
2511,153,2-Chloropropionic acid
2512,152,Aminophenols
2513,156,Bromoacetyl bromide
2514,130,Bromobenzene
2515,159,Bromoform
2516,151,Carbon tetrabromide
2517,115,"1-Chloro-1,1-difluoroethane"
2517,115,Difluorochloroethanes
2517,115,Refrigerant gas R-142b
2518,153,"1,5,9-Cyclododecatriene"
2520,130P,Cyclooctadienes
2521,131P,"Diketene, stabilized"
2522,153P,2-Dimethylaminoethyl
2524,129,Ethyl orthoformate
2525,156,Ethyl oxalate
2526,132,Furfurylamine
2527,129P,"Isobutyl acrylate, stabilized"
2528,130,Isobutyl isobutyrate
2529,132,Isobutyric acid
2531,153P,"Methacrylic acid, stabilized"
2533,156,Methyl trichloroacetate
2534,119,Methylchlorosilane
2535,132,4-Methylmorpholine
2535,132,N-Methylmorpholine
2536,127,Methyltetrahydrofuran
2538,133,Nitronaphthalene
2541,128,Terpinolene
2542,153,Tributylamine
2545,135,"Hafnium powder, dry"
2546,135,"Titanium powder, dry"
2547,143,Sodium superoxide
2548,124,Chlorine pentafluoride
2552,151,"Hexafluoroacetone hydrate,"
2555,113,"Nitrocellulose with water, not"
2556,113,"Nitrocellulose with alcohol, not"
2557,133,"Nitrocellulose mixture, with or"
2557,133,"Nitrocellulose mixture, with or"
2558,131,Epibromohydrin
2560,129,2-Methylpentan-2-ol
2561,128,3-Methyl-1-butene
2564,153,"Trichloroacetic acid, solution"
2565,153,Dicyclohexylamine
2567,154,Sodium pentachlorophenate
2570,154,Cadmium compound
2571,156,Alkylsulfuric acids
2571,156,Alkylsulphuric acids
2572,153,Phenylhydrazine
2573,141,Thallium chlorate
2574,151,Tricresyl phosphate
2576,137,"Phosphorus oxybromide, molten"
2577,156,Phenylacetyl chloride
2578,157,Phosphorus trioxide
2579,153,Piperazine
2580,154,"Aluminum bromide, solution"
2581,154,"Aluminum chloride, solution"
2582,154,"Ferric chloride, solution"
2583,153,"Alkyl sulfonic acids, solid, with"
2583,153,"Alkyl sulphonic acids, solid, with"
2583,153,"Aryl sulfonic acids, solid, with"
2583,153,"Aryl sulphonic acids, solid, with"
2584,153,"Alkyl sulfonic acids, liquid, with"
2584,153,"Alkyl sulphonic acids, liquid,"
2584,153,"Aryl sulfonic acids, liquid, with"
2584,153,"Aryl sulphonic acids, liquid, with"
2585,153,"Alkyl sulfonic acids, solid,"
2585,153,"Alkyl sulphonic acids, solid,"
2585,153,"Aryl sulfonic acids, solid,"
2585,153,"Aryl sulphonic acids, solid,"
2586,153,"Alkyl sulfonic acids, liquid,"
2586,153,"Alkyl sulphonic acids, liquid,"
2586,153,"Aryl sulfonic acids, liquid,"
2586,153,"Aryl sulphonic acids, liquid,"
2587,153,"Benzoquinone2588 151 Pesticide, solid, poisonous,"
2588,151,"Pesticide, solid, toxic, n.o.s."
2589,155,Vinyl chloroacetate
2590,171,"Asbestos, chrysotile"
2591,120,"Xenon, refrigerated liquid"
2599,126,Chlorotrifluoromethane and
2599,126,Refrigerant gas R-503
2601,115,Cyclobutane
2602,126,Dichlorodifluoromethane and
2602,126,Refrigerant gas R-500
2603,131,Cycloheptatriene
2604,132,Boron trifluoride diethyl
2605,155,Methoxymethyl isocyanate
2606,155,Methyl orthosilicate
2607,129P,"Acrolein dimer, stabilized"
2608,129,Nitropropanes
2609,156,Triallyl borate
2610,132,Triallylamine
2611,131,Propylene chlorohydrin
2612,127,Methyl propyl ether
2614,129,Methallyl alcohol
2615,127,Ethyl propyl ether
2616,129,Triisopropyl borate
2617,129,Methylcyclohexanols
2618,130P,"Vinyltoluenes, stabilized"
2619,132,Benzyldimethylamine
2620,130,Amyl butyrates
2621,127,Acetyl methyl carbinol
2622,131P,Glycidaldehyde
2623,133,"Firelighters, solid, with"
2624,138,Magnesium silicide
2626,140,"Chloric acid, aqueous solution,"
2627,140,"Nitrites, inorganic, n.o.s."
2628,151,Potassium fluoroacetate
2629,151,Sodium fluoroacetate
2630,151,Selenates
2630,151,Selenites
2642,154,Fluoroacetic acid
2643,153,Methyl bromoacetate
2644,151,Methyl iodide
2645,153,Phenacyl bromide
2646,151,Hexachlorocyclopentadiene
2647,153,Malononitrile
2648,154,"1,2-Dibromobutan-3-one"
2649,153,"1,3-Dichloroacetone"
2650,153,"1,1-Dichloro-1-nitroethane"
2651,153,"4,4'-Diaminodiphenylmethane"
2653,156,Benzyl iodide
2655,151,Potassium fluorosilicate
2656,154,Quinoline
2657,153,Selenium disulfide
2657,153,Selenium disulphide
2659,151,Sodium chloroacetate
2660,153,Mononitrotoluidines
2660,153,Nitrotoluidines (mono)
2661,153,Hexachloroacetone
2664,160,Dibromomethane2667 152 Butyltoluenes
2668,131,Chloroacetonitrile
2669,152,"Chlorocresols, solution"
2670,157,Cyanuric chloride
2671,153,Aminopyridines
2672,154,"Ammonia solution, with more"
2672,154,"Ammonium hydroxide, with more"
2673,151,2-Amino-4-chlorophenol
2674,154,Sodium fluorosilicate
2676,119,Stibine
2677,154,"Rubidium hydroxide, solution"
2678,154,"Rubidium hydroxide, solid"
2679,154,"Lithium hydroxide, solution"
2680,154,Lithium hydroxide
2681,154,"Caesium hydroxide, solution"
2681,154,"Cesium hydroxide, solution"
2682,157,Caesium hydroxide
2682,157,Cesium hydroxide
2683,132,"Ammonium sulfide, solution"
2683,132,"Ammonium sulphide, solution"
2684,132,3-Diethylaminopropylamine
2685,132,"N,N-Diethylethylenediamine"
2686,132,2-Diethylaminoethanol
2687,133,Dicyclohexylammonium nitrite
2688,159,1-Bromo-3-chloropropane
2689,153,Glycerol alpha-
2690,152,"N,n-Butylimidazole"
2691,137,Phosphorus pentabromide
2692,157,Boron tribromide
2693,154,"Bisulfites, aqueous solution,"
2693,154,"Bisulphites, aqueous solution,"
2698,156,Tetrahydrophthalic anhydrides
2699,154,Trifluoroacetic acid
2705,153P,1-Pentol
2707,127,Dimethyldioxanes
2709,128,Butylbenzenes
2710,128,Dipropyl ketone
2713,153,Acridine
2714,133,Zinc resinate
2715,133,Aluminum resinate
2716,153,"1,4-Butynediol"
2717,133,"Camphor, synthetic"
2719,141,Barium bromate
2720,141,Chromium nitrate
2721,140,Copper chlorate
2722,140,Lithium nitrate
2723,140,Magnesium chlorate
2724,140,Manganese nitrate
2725,140,Nickel nitrate
2726,140,Nickel nitrite
2727,141,Thallium nitrate
